Indicator Category,Indicator,Shortened Indicator Name,Shortened Indicator Name (Graph),Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,95% Confidence Level - Low,95% Confidence Level - High
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2010,Both,White,7.9,"San Diego County, CA","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.","Centers for Disease Control and Prevention, National Center for Health Statistics. Multiple Cause of Death 1999-2015 on CDC WONDER Online Database, released December, 2016. Data are from the Multiple Cause of Death Files, 1999-2015, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed 3/9/17","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes X40-X44 as an underlying cause of death and T40.2,  T40.3 and T40.4 as multiple cause of death. Rates are adjusted for 100,000 population using the 2000 US standard population.","This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",6.6,9.3
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2012,Both,Hispanic,1.68,U.S. Total,"Age-Adjusted rate of opioid-related mortality rate using ICD-10-CM codes: X40-X44; AND  one or more of the following in any multiple cause of death: T40.2, T40.3 and T40.4 (Numerator= deaths. Denominator= 2010 census population. Rates per 100,000. Age adjust rates using the 2000 US standard population. Data from 2012, 2013, and 2014 was used",CDC WONDER,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",1.57,1.8
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2013,Both,Hispanic,1.85,U.S. Total,"Age-Adjusted rate of opioid-related mortality rate using ICD-10-CM codes: X40-X44; AND  one or more of the following in any multiple cause of death: T40.2, T40.3 and T40.4 (Numerator= deaths. Denominator= 2010 census population. Rates per 100,000. Age adjust rates using the 2000 US standard population. Data from 2012, 2013, and 2014 was used",CDC WONDER,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",1.73,1.97
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2013,Both,All,2.1,"Miami (Miami-Dade County), FL","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",,,"This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2011,Female,All,3.6,"Minneapolis, MN","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",Minnesota Vital Statistics,"Rates per 100,000 calculated using the Minneapolis 2010 Census population; age-adjusted using the 2000 US standard population","This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2012,Both,Asian/PI,2.3,"Minneapolis, MN","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",Minnesota Vital Statistics,"Rates per 100,000 calculated using the Minneapolis 2010 Census population; age-adjusted using the 2000 US standard population","This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2013,Male,All,6.8,"Minneapolis, MN","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",Minnesota Vital Statistics,"Rates per 100,000 calculated using the Minneapolis 2010 Census population; age-adjusted using the 2000 US standard population","This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2014,Male,All,8.3,"Minneapolis, MN","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",Minnesota Vital Statistics,"Rates per 100,000 calculated using the Minneapolis 2010 Census population; age-adjusted using the 2000 US standard population","This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2012,Both,Black,2.7,"New York City, NY","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",NYC DOHMH Bureau of Vital Stastics/Office of the Chief Medical Examiner,"Mortality data were collected through an in-depth review of data and charts from the NYC Health Department’s Bureau of Vital Statistics and the Office of the Chief Medical Examiner. Unintentional drug poisoning deaths involving opioid analgesics include ICD-10 codes X42 and F11 (excluding .2 and .6). Methadone is reported separately and not included in opioid analgesic analyses. Rates calculated using NYC DOHMH population estimates, modified from US Census Bureau intercensal population estimates, updated October 2015; rates per 100,000 population, age adjusted.","This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,
Behavioral Health/Substance Abuse,"Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)",Opioid-Related Overdose Mortality Rate,,2014,Both,All,3.2,"New York City, NY","Age-adjusted rate of opioid-related mortality rate using ICD-10 codes: X40-X44 AND one or more of the following in any multiple cause of death field: T40.2, T40.3, T40.4. (Numerator = deaths; Denominator = 2010 census population). Compute rates per 100,000 age adjusted using the 2000 US standard population.",NYC DOHMH Bureau of Vital Stastics/Office of the Chief Medical Examiner,"Mortality data were collected through an in-depth review of data and charts from the NYC Health Department’s Bureau of Vital Statistics and the Office of the Chief Medical Examiner. Unintentional drug poisoning deaths involving opioid analgesics include ICD-10 codes X42 and F11 (excluding .2 and .6). Methadone is reported separately and not included in opioid analgesic analyses. Rates calculated using NYC DOHMH population estimates, modified from US Census Bureau intercensal population estimates, updated October 2015; rates per 100,000 population, age adjusted.","This indicator is not exclusive of other drugs that may be included in multiple cause of death fields, such as heroin (T40.1), cocaine (T40.5), benzodiazepines (T42.4), psychostimulants with abuse potential (T43.6), other and unspecified narcotics (T40.6), or drugs not elsewhere classified (T50.9). Morphine and heroin are metabolized similarly. This may result in the over-reporting of drug poisonings associated with the effects of opioid analgesics.",,
