name,city,location
"Urban Chestnut Brewing Company","Saint Louis","[38.63774588,-90.22558603]"
"Barley Island Brewing Company",Noblesville,"[40.045274,-86.015334]"
"Samuel Adams Brewery","Jamaica Plain","[42.31451355,-71.10318078]"
"Figueroa Mountain Brewing Company","Santa Barbara","[34.41457978,-119.6908621]"
"Bitter Brothers Brewing Co.","San Diego","[32.8028741,-117.2121683]"
"Minneapolis Town Hall Brewery",Minneapolis,"[44.973194,-93.2478]"
"Bad Tom Smith Brewing",Cincinnati,"[39.11976,-84.41839]"
"Clayton Brewing Company","San Dimas","[34.10608,-117.81773]"
"Slanted Rock Brewing Co",Meridian,"[43.59133291,-116.3666511]"
"Total Wine & More",Naples,"[26.209177,-81.768152]"
"Jailbreak Brewing Company",Laurel,"[39.12405088,-76.82314061]"
"Cellar 3",Poway,"[32.94044,-117.03436]"
"Big Grove Brewery",Solon,"[41.8069,-91.4955]"
"Total Wine & More",Fremont,"[37.503025,-121.97528]"
"Fry's Marketplace",Phoenix,"[33.30389,-111.99888]"
"World of Beer",Orlando,"[28.542401,-81.372239]"
"Outer Banks Brewing Station","Kill Devil Hills","[36.00948,-75.65945]"
"Brewery Terra Firma","Traverse City","[44.71511826,-85.63491321]"
"Breckenridge Brewery & Pub",Breckenridge,"[39.4792,-106.0457]"
"BJ's Restaurant and Brewhouse",Pearland,"[29.555548,-95.393452]"
"Saint Archer Brewing Company","San Diego","[32.88051394,-117.1631384]"
"Gordon Biersch Brewery Restaurant",Seattle,"[47.61275608,-122.3348397]"
"3 Sheeps Brewing Company",Sheboygan,"[43.75947972,-87.7216719]"
"Prost Brewing",Denver,"[39.76138,-105.00667]"
"Smoky Mountain Brewery","Pigeon Forge","[35.80689,-83.57754]"
"The Cork and Craft","San Diego","[33.02385,-117.08575]"
"The Oregon Public House",Portland,"[45.57153,-122.65816]"
Kroger,Houston,"[29.748711,-95.500832]"
"Wingman Brewers",Tacoma,"[47.240946,-122.427718]"
"People's Brewing Company",Lafayette,"[40.43762132,-86.88658209]"
"Black Cloister Brewing Company",Toledo,"[41.6499,-83.5401]"
"Petaluma Hills Brewing Company",Petaluma,"[38.27209893,-122.663877]"
"United Way of Greater Milwaukee",Milwaukee,"[43.05308479,-87.91315556]"
"BJ's Restaurant & Brewhouse","West Covina","[34.07299,-117.88683]"
"World of Beer",Tampa,"[28.0433,-82.5922]"
"Pranksters Too",Scottsdale,"[33.47895458,-111.9110298]"
"The Hoppy Brewer",Gresham,"[45.49994,-122.43068]"
"Draught House Pub & Brewery",Austin,"[30.310074,-97.742758]"
"Hurry Back",Nashville,"[36.15117618,-86.80452485]"
"603 Brewery",Londonderry,"[42.9164,-71.3629]"
"Trve Brewing Co.",Denver,"[39.71993776,-104.9876958]"
"McMenamins Raleigh Hills Pub",Portland,"[45.4874,-122.74751]"
"Hamburger Mary's",Chicago,"[41.97997,-87.66856]"
"Natty Greene's Pub & Brewing Co.",Greensboro,"[36.06943,-79.7905]"
"Jekyll Brewing",Alpharetta,"[34.08836,-84.24685]"
"Carmody Irish Pub and Brewing",Duluth,"[46.78997367,-92.09406017]"
"De La Vega's Pecan Grill and Brewery","Las Cruces","[32.31473412,-106.744547]"
"Bushwhacker Cider - Brooklyn",Portland,"[45.500323,-122.652954]"
"Southern Brewing Company",Athens,"[33.98343851,-83.34810019]"
"Cranker's Restaurant & Brewery - Mount Pleasant","Mount Pleasant","[43.61218873,-84.76272556]"
"Bj's Restaurant & Brewhouse",Arlington,"[32.67922647,-97.11079359]"
